year,university,school,degree,category,employment_rate_overall,employment_rate_ft_perm,basic_monthly_mean,basic_monthly_median,gross_monthly_mean,gross_monthly_median,gross_mthly_25_percentile,gross_mthly_75_percentile
2024,SIT,Singapore institute of technology (sit),Sustainable Infrastructure Engineering,Engineering,0.917,0.863,3944.5,3870.0,4094.5,3990.0,3737.5,4367.5
2024,SIT,Sit- digipen institute of technology,Systems Engineering,Engineering,0.909,0.841,4829.0,4640.0,4979.0,4800.0,4400.0,5500.0
2024,SMU,School of accountancy (4-year programme) *,Accountancy,Business,0.958,0.946,4789.5,4425.0,4914.5,4425.0,4200.0,5201.5
2024,SMU,School of business (4-year programme) *,Business,Business,0.9079999999999999,0.8565,5001.0,4500.0,5165.0,4662.5,4100.0,5400.0
2024,SMU,School of computing & information systems (4-year programme) *,Computer Science,Technology,0.972,0.958,6195.0,5925.0,6513.0,6200.0,5292.5,7250.0
2024,SMU,School of computing & information systems (4-year programme) *,Computing & Law,Law,1.0,1.0,4993.5,4750.0,5213.5,4750.0,4300.0,5770.0
2024,SMU,School of economics (4-year programme) *,Economics,Arts & Social Sciences,0.8785000000000001,0.8175,5019.0,4717.5,5296.0,4876.5,4290.0,5516.5
2024,SMU,School of computing & information systems (4-year programme) *,Information Systems,Technology,0.8995,0.839,5465.0,5250.0,5658.0,5274.5,4800.0,6258.0
2024,SMU,School of law (4-year programme) *,Law,Law,0.978,0.9590000000000001,6444.0,6829.5,6680.0,7000.0,6250.0,7000.0
2024,SMU,School of social sciences (4-year programme) *,Social Sciences,Arts & Social Sciences,0.879,0.7615000000000001,4478.5,4180.0,4688.0,4417.0,3737.5,5264.5
2024,SUSS,School of business,Accountancy,Business,0.902,0.902,4362.0,4325.0,4411.0,4338.0,4045.0,4350.0
2024,SUSS,School of business,Business Analytics,Technology,0.721,0.691,4455.0,4300.0,4708.0,4458.0,3900.0,5100.0
2024,SUSS,S r nathan school of human development,Early Childhood Education,Education,0.826,0.804,3454.0,3550.0,3576.0,3600.0,3500.0,3800.0
2024,SUSS,School of business,Finance,Business,0.87,0.833,4489.0,4300.0,4661.0,4500.0,3999.0,5000.0
2024,SUSS,S r nathan school of human development,Human Resource Management,Business,0.867,0.684,3870.0,3700.0,3973.0,3800.0,3520.0,4200.0
2024,SUSS,School of business,Marketing,Business,0.847,0.7120000000000001,3787.0,3600.0,3994.0,3700.0,3500.0,4125.0
2024,SUSS,School of humanities and behavioural sciences,Public Safety & Security,Arts & Social Sciences,0.848,0.7170000000000001,4409.0,4460.0,4852.0,4916.0,4167.0,5438.0
2024,SUSS,S r nathan school of human development,Social Work,Arts & Social Sciences,0.847,0.746,3850.0,3825.0,3936.0,3850.0,3820.0,4000.0
2024,SUSS,School of business,Supply Chain Management,Business,0.875,0.792,4001.0,4000.0,4067.0,4000.0,3650.0,4500.0
2024,SUTD,N.a.,Computer Science & Design,Technology,0.8540000000000001,0.815,5134.0,4900.0,5304.0,5000.0,4500.0,5800.0
2024,SUTD,N.a.,Engineering Product Development,Engineering,0.8909999999999999,0.828,4562.0,4500.0,4703.0,4550.0,4250.0,5150.0
2024,SUTD,N.a.,Engineering Systems & Design,Engineering,0.935,0.9129999999999999,4533.0,4500.0,4801.0,4730.0,4275.0,5000.0
2025,NTU,College of business / nanyang business school,Accountancy,Business,0.9670000000000001,0.885,4530.0,4350.0,4578.0,4350.0,4300.0,4550.0
2025,NTU,College of business / nanyang business school,Accountancy & Business,Business,0.96,0.893,5233.0,4550.0,5385.0,4680.0,4350.0,6000.0
2025,NTU,College of engineering,Aerospace Engineering,Engineering,0.784,0.629,4703.0,4500.0,4901.0,4640.0,4200.0,5400.0
2025,NTU,College of humanities arts & social sciences,"Art, Design & Media",Architecture & Design,0.764,0.348,3446.0,3350.0,3464.0,3350.0,3000.0,3600.0
2025,NTU,National institute of education,Arts (with Education),Education,1.0,1.0,4562.0,4875.0,4749.0,5000.0,4309.0,5105.0
2025,NTU,College of science,Biological Sciences,Science,0.919,0.6940000000000001,3971.0,4000.0,4123.0,4000.0,3800.0,4300.0
2025,NTU,College of engineering,Biomedical Engineering,Engineering,0.8390000000000001,0.629,4116.0,4000.0,4330.0,4300.0,4000.0,4541.0
2025,NTU,College of science,Biomedical Sciences,Science,0.9640000000000001,0.893,3769.0,3500.0,4049.0,3700.0,3500.0,4400.0
2025,NTU,College of business / nanyang business school,Business,Business,0.904,0.718,4766.0,4354.0,4946.0,4500.0,4000.0,5300.0
2025,NTU,College of engineering,Chemical & Biomolecular Engineering,Engineering,0.87,0.691,4161.0,4200.0,4434.0,4400.0,4000.0,4900.0
2025,NTU,College of science,Chemistry & Biological Chemistry,Science,0.8,0.648,4048.0,4000.0,4257.0,4200.0,3700.0,4680.0
2025,NTU,College of humanities arts & social sciences,Chinese,Arts & Social Sciences,0.9390000000000001,0.735,4018.0,4140.0,4208.0,4345.0,3625.0,4680.0
2025,NTU,College of engineering,Civil Engineering,Engineering,0.9590000000000001,0.7959999999999999,4324.0,4190.0,4522.0,4200.0,4000.0,4620.0
2025,NTU,College of humanities arts & social sciences,Communication Studies,Arts & Social Sciences,0.91,0.557,4075.0,4000.0,4164.0,4000.0,3700.0,4618.0
2025,NTU,College of computing and data science,Computer Engineering,Engineering,0.846,0.754,5182.0,5000.0,5348.0,5150.0,4900.0,5850.0
2025,NTU,College of computing and data science,Computer Science,Technology,0.895,0.797,5675.0,5400.0,5852.0,5500.0,4900.0,6565.0
2025,NTU,College of computing and data science,Data Science,Technology,0.81,0.759,5313.0,5250.0,5408.0,5250.0,4850.0,6130.0
2025,NTU,College of computing and data science + college of business,Double Degree (Business & Computer Science),Business,0.889,0.833,6714.0,6500.0,6993.0,6950.0,5520.0,8000.0
2025,NTU,College of engineering / computing and data science + college of humanities arts & social sciences,Double Degree (Engineering & Economics),Engineering,0.938,0.688,6115.0,5000.0,6270.0,5500.0,5000.0,7500.0
2025,NTU,College of humanities arts & social sciences,Economics,Arts & Social Sciences,0.9229999999999999,0.785,4542.0,4500.0,4709.0,4621.0,4100.0,5200.0
2025,NTU,College of engineering,Electrical & Electronic Engineering,Engineering,0.8640000000000001,0.758,4593.0,4640.0,4786.0,4800.0,4250.0,5200.0
